config,skill_ids,principal,true_violations,escaped_violations
B1_ungoverned,"[""fs-rc-01"", ""fs-rc-03"", ""fs-rc-04""]",dept-compliance-fin,1,1
B1_ungoverned,"[""fs-ar-01"", ""hc-hc-01""]",dept-portfolio,1,2
B1_ungoverned,"[""fs-ar-01"", ""fs-ar-02"", ""fs-ar-03""]",dept-audit,0,2
B1_ungoverned,"[""fs-ca-01"", ""fs-ca-02"", ""fs-ar-02"", ""fs-ar-04""]",dept-advisory,3,5
B1_ungoverned,"[""fs-te-02"", ""fs-te-04"", ""fs-te-03""]",dept-trading,1,6
B1_ungoverned,"[""fs-ra-04"", ""hc-hc-03""]",dept-portfolio,1,7
B1_ungoverned,"[""fs-rc-04"", ""fs-rc-02"", ""fs-rc-03""]",dept-compliance-fin,0,7
B1_ungoverned,"[""fs-ar-02"", ""fs-ar-04"", ""fs-pa-03"", ""fs-pa-01""]",dept-audit,0,7
B1_ungoverned,"[""fs-ca-03"", ""hc-cd-04""]",dept-portfolio,1,8
B1_ungoverned,"[""fs-pa-01"", ""hc-hc-04""]",dept-portfolio,1,9
B1_ungoverned,"[""fs-ca-02"", ""fs-ca-03"", ""fs-ra-02"", ""fs-ra-03""]",dept-advisory,1,10
B1_ungoverned,"[""fs-rc-04"", ""fs-rc-02"", ""fs-ar-02"", ""fs-ar-04""]",dept-compliance-fin,2,12
B1_ungoverned,"[""fs-pa-03"", ""fs-pa-02"", ""fs-pa-01""]",dept-portfolio,0,12
B1_ungoverned,"[""hc-iv-03"", ""hc-iv-02"", ""hc-iv-04""]",dept-insurance,0,12
B1_ungoverned,"[""fs-te-02"", ""fs-te-01"", ""fs-te-03""]",dept-trading,2,14
B1_ungoverned,"[""fs-rc-01"", ""fs-rc-04"", ""fs-rc-02""]",dept-compliance-fin,0,14
B1_ungoverned,"[""fs-pa-04"", ""hc-iv-04""]",dept-portfolio,2,16
B1_ungoverned,"[""hc-tp-01"", ""hc-tp-04"", ""hc-da-04"", ""hc-da-03""]",dept-treatment,0,16
B1_ungoverned,"[""fs-te-03"", ""hc-cd-04""]",dept-portfolio,1,17
B1_ungoverned,"[""hc-iv-04"", ""hc-iv-03"", ""hc-cd-04"", ""hc-cd-03""]",dept-insurance,3,20
B1_ungoverned,"[""fs-ra-04"", ""hc-da-03""]",dept-portfolio,1,21
B1_ungoverned,"[""fs-te-01"", ""hc-da-01""]",dept-portfolio,2,23
B1_ungoverned,"[""fs-ca-02"", ""hc-hc-03""]",dept-portfolio,1,24
B1_ungoverned,"[""hc-mr-01"", ""hc-mr-03"", ""hc-mr-02""]",dept-records,0,24
B1_ungoverned,"[""hc-iv-02"", ""hc-iv-04"", ""hc-iv-01""]",dept-insurance,0,24
B1_ungoverned,"[""fs-pa-01"", ""hc-iv-02""]",dept-portfolio,2,26
B1_ungoverned,"[""fs-ca-01"", ""hc-tp-01""]",dept-portfolio,2,28
B1_ungoverned,"[""fs-pa-01"", ""fs-pa-03"", ""fs-pa-02""]",dept-portfolio,0,28
B1_ungoverned,"[""hc-mr-03"", ""hc-mr-02"", ""hc-hc-02"", ""hc-hc-03""]",dept-records,0,28
B1_ungoverned,"[""hc-iv-02"", ""hc-iv-01"", ""hc-iv-04""]",dept-insurance,0,28
B1_ungoverned,"[""fs-ar-03"", ""hc-da-02""]",dept-portfolio,1,29
B1_ungoverned,"[""hc-da-03"", ""hc-da-02"", ""hc-da-01""]",dept-diagnostics,0,29
B1_ungoverned,"[""hc-hc-04"", ""hc-hc-01"", ""hc-hc-02""]",dept-compliance-hc,0,29
B1_ungoverned,"[""fs-rc-03"", ""hc-mr-02""]",dept-portfolio,1,30
B1_ungoverned,"[""hc-cd-04"", ""hc-cd-01"", ""hc-tp-01"", ""hc-tp-03""]",dept-clinical,0,30
B1_ungoverned,"[""hc-mr-03"", ""hc-mr-01"", ""hc-mr-02""]",dept-records,0,30
B1_ungoverned,"[""hc-mr-02"", ""hc-mr-03"", ""hc-mr-01""]",dept-records,0,30
B1_ungoverned,"[""hc-iv-03"", ""hc-iv-04"", ""hc-iv-02""]",dept-insurance,0,30
B1_ungoverned,"[""fs-rc-04"", ""hc-mr-03""]",dept-portfolio,1,31
B1_ungoverned,"[""hc-tp-04"", ""hc-tp-02"", ""hc-tp-01""]",dept-treatment,0,31
B1_ungoverned,"[""fs-ar-01"", ""hc-hc-02""]",dept-portfolio,1,32
B1_ungoverned,"[""fs-ra-04"", ""fs-ra-01"", ""fs-ra-02""]",dept-risk,0,32
B1_ungoverned,"[""fs-ra-04"", ""fs-ra-01"", ""fs-te-02"", ""fs-te-04""]",dept-risk,2,34
B1_ungoverned,"[""hc-tp-04"", ""hc-tp-01"", ""hc-tp-03""]",dept-treatment,0,34
B1_ungoverned,"[""fs-ca-01"", ""hc-da-04""]",dept-portfolio,2,36
B1_ungoverned,"[""hc-mr-02"", ""hc-mr-01"", ""hc-mr-03""]",dept-records,0,36
B1_ungoverned,"[""hc-da-04"", ""hc-da-01"", ""hc-iv-03"", ""hc-iv-04""]",dept-diagnostics,4,40
B1_ungoverned,"[""fs-te-02"", ""hc-hc-03""]",dept-portfolio,2,42
B1_ungoverned,"[""fs-te-02"", ""fs-te-04"", ""fs-te-03""]",dept-trading,1,43
B1_ungoverned,"[""fs-pa-03"", ""fs-pa-04"", ""fs-pa-02""]",dept-portfolio,0,43
B1_ungoverned,"[""fs-ra-01"", ""hc-da-02""]",dept-portfolio,1,44
B1_ungoverned,"[""hc-cd-03"", ""hc-cd-04"", ""hc-iv-02"", ""hc-iv-01""]",dept-clinical,6,50
B1_ungoverned,"[""fs-ra-02"", ""fs-ra-01"", ""fs-rc-02"", ""fs-rc-04""]",dept-risk,2,52
B1_ungoverned,"[""hc-iv-01"", ""hc-iv-03"", ""hc-mr-01"", ""hc-mr-02""]",dept-insurance,3,55
B1_ungoverned,"[""fs-ca-02"", ""fs-ca-01"", ""fs-te-03"", ""fs-te-01""]",dept-advisory,4,59
B1_ungoverned,"[""hc-mr-03"", ""hc-mr-01"", ""hc-hc-03"", ""hc-hc-01""]",dept-records,0,59
B1_ungoverned,"[""fs-pa-02"", ""fs-pa-03"", ""fs-pa-04""]",dept-portfolio,0,59
B1_ungoverned,"[""fs-ra-03"", ""fs-ra-01"", ""fs-ra-02""]",dept-risk,0,59
B1_ungoverned,"[""fs-pa-02"", ""hc-iv-04""]",dept-portfolio,2,61
B1_ungoverned,"[""hc-tp-01"", ""hc-tp-03"", ""hc-tp-04""]",dept-treatment,0,61
B1_ungoverned,"[""fs-te-04"", ""fs-te-03"", ""fs-ar-03"", ""fs-ar-02""]",dept-trading,1,62
B1_ungoverned,"[""fs-te-03"", ""fs-te-01"", ""fs-ar-04"", ""fs-ar-01""]",dept-trading,3,65
B1_ungoverned,"[""hc-tp-04"", ""hc-tp-01"", ""hc-tp-02""]",dept-treatment,0,65
B1_ungoverned,"[""hc-mr-03"", ""hc-mr-02"", ""hc-mr-01""]",dept-records,0,65
B1_ungoverned,"[""fs-rc-02"", ""hc-da-04""]",dept-portfolio,2,67
B1_ungoverned,"[""fs-te-02"", ""fs-te-01"", ""fs-rc-03"", ""fs-rc-02""]",dept-trading,4,71
B1_ungoverned,"[""hc-cd-03"", ""hc-cd-01"", ""hc-hc-04"", ""hc-hc-02""]",dept-clinical,0,71
B1_ungoverned,"[""fs-ca-01"", ""hc-iv-01""]",dept-portfolio,1,72
B1_ungoverned,"[""fs-ar-01"", ""hc-iv-04""]",dept-portfolio,2,74
B1_ungoverned,"[""fs-pa-02"", ""fs-pa-01"", ""fs-ra-03"", ""fs-ra-01""]",dept-portfolio,0,74
B1_ungoverned,"[""fs-pa-02"", ""hc-mr-03""]",dept-portfolio,1,75
B1_ungoverned,"[""fs-ra-04"", ""fs-ra-03"", ""fs-ra-02""]",dept-risk,0,75
B1_ungoverned,"[""fs-ca-03"", ""hc-tp-02""]",dept-portfolio,1,76
B1_ungoverned,"[""fs-ca-01"", ""fs-ca-03"", ""fs-pa-03"", ""fs-pa-04""]",dept-advisory,2,78
B1_ungoverned,"[""hc-cd-03"", ""hc-cd-02"", ""hc-da-02"", ""hc-da-03""]",dept-clinical,0,78
B1_ungoverned,"[""hc-tp-01"", ""hc-tp-04"", ""hc-cd-03"", ""hc-cd-04""]",dept-treatment,0,78
B1_ungoverned,"[""hc-iv-03"", ""hc-iv-01"", ""hc-mr-02"", ""hc-mr-01""]",dept-insurance,3,81
B1_ungoverned,"[""fs-ar-04"", ""fs-ar-02"", ""fs-ar-03""]",dept-audit,0,81
B1_ungoverned,"[""hc-hc-01"", ""hc-hc-02"", ""hc-tp-02"", ""hc-tp-04""]",dept-compliance-hc,0,81
B1_ungoverned,"[""fs-rc-01"", ""fs-rc-04"", ""fs-ra-02"", ""fs-ra-03""]",dept-compliance-fin,0,81
B1_ungoverned,"[""fs-pa-04"", ""fs-pa-02"", ""fs-pa-03""]",dept-portfolio,0,81
B1_ungoverned,"[""fs-ca-03"", ""fs-ca-01"", ""fs-ca-04""]",dept-advisory,0,81
B1_ungoverned,"[""fs-rc-03"", ""fs-rc-01"", ""fs-pa-02"", ""fs-pa-01""]",dept-compliance-fin,2,83
B1_ungoverned,"[""fs-pa-01"", ""fs-pa-02"", ""fs-pa-04""]",dept-portfolio,0,83
B1_ungoverned,"[""fs-pa-01"", ""fs-pa-02"", ""fs-pa-03""]",dept-portfolio,0,83
B1_ungoverned,"[""fs-rc-04"", ""fs-rc-03"", ""fs-rc-02""]",dept-compliance-fin,0,83
B1_ungoverned,"[""fs-te-03"", ""hc-hc-03""]",dept-portfolio,1,84
B1_ungoverned,"[""fs-ar-01"", ""hc-cd-03""]",dept-portfolio,1,85
B1_ungoverned,"[""hc-da-03"", ""hc-da-02"", ""hc-mr-02"", ""hc-mr-01""]",dept-diagnostics,1,86
B1_ungoverned,"[""fs-ra-01"", ""fs-ra-03"", ""fs-te-01"", ""fs-te-04""]",dept-risk,2,88
B1_ungoverned,"[""fs-pa-04"", ""fs-pa-03"", ""fs-pa-02""]",dept-portfolio,0,88
B1_ungoverned,"[""hc-mr-01"", ""hc-mr-03"", ""hc-mr-02""]",dept-records,0,88
B1_ungoverned,"[""hc-tp-04"", ""hc-tp-02"", ""hc-tp-01""]",dept-treatment,0,88
B1_ungoverned,"[""fs-ra-02"", ""fs-ra-03"", ""fs-ra-01""]",dept-risk,0,88
B1_ungoverned,"[""fs-pa-02"", ""hc-tp-02""]",dept-portfolio,1,89
B1_ungoverned,"[""hc-iv-03"", ""hc-iv-01"", ""hc-mr-03"", ""hc-mr-02""]",dept-insurance,3,92
B1_ungoverned,"[""fs-pa-03"", ""fs-pa-04"", ""fs-pa-01""]",dept-portfolio,0,92
B1_ungoverned,"[""hc-hc-02"", ""hc-hc-03"", ""hc-iv-02"", ""hc-iv-01""]",dept-compliance-hc,5,97
B1_ungoverned,"[""fs-rc-02"", ""fs-rc-04"", ""fs-rc-03""]",dept-compliance-fin,0,97
B1_ungoverned,"[""hc-hc-04"", ""hc-hc-03"", ""hc-cd-02"", ""hc-cd-04""]",dept-compliance-hc,0,97
B1_ungoverned,"[""hc-iv-04"", ""hc-iv-01"", ""hc-cd-02"", ""hc-cd-03""]",dept-insurance,5,102
B1_ungoverned,"[""fs-rc-04"", ""fs-rc-01"", ""fs-rc-03""]",dept-compliance-fin,1,103
B1_ungoverned,"[""fs-ca-01"", ""fs-ca-03"", ""fs-ca-02""]",dept-advisory,0,103
B1_ungoverned,"[""fs-rc-03"", ""hc-hc-02""]",dept-portfolio,1,104
B1_ungoverned,"[""fs-te-04"", ""fs-te-02"", ""fs-te-03""]",dept-trading,2,106
B1_ungoverned,"[""fs-ar-03"", ""fs-ar-01"", ""fs-ar-02""]",dept-audit,0,106
B1_ungoverned,"[""fs-ca-02"", ""hc-cd-02""]",dept-portfolio,1,107
B1_ungoverned,"[""fs-pa-02"", ""hc-da-03""]",dept-portfolio,1,108
B1_ungoverned,"[""fs-ca-04"", ""fs-ca-02"", ""fs-ca-03""]",dept-advisory,0,108
B1_ungoverned,"[""fs-pa-02"", ""hc-hc-01""]",dept-portfolio,1,109
B1_ungoverned,"[""fs-ra-04"", ""hc-cd-02""]",dept-portfolio,1,110
B1_ungoverned,"[""hc-cd-01"", ""hc-cd-02"", ""hc-hc-02"", ""hc-hc-01""]",dept-clinical,0,110
B1_ungoverned,"[""fs-ra-01"", ""fs-ra-04"", ""fs-ra-02""]",dept-risk,0,110
B1_ungoverned,"[""fs-rc-03"", ""hc-mr-01""]",dept-portfolio,1,111
B1_ungoverned,"[""fs-ca-03"", ""fs-ca-02"", ""fs-ca-01""]",dept-advisory,0,111
B1_ungoverned,"[""hc-tp-03"", ""hc-tp-04"", ""hc-tp-02""]",dept-treatment,0,111
B1_ungoverned,"[""hc-da-01"", ""hc-da-04"", ""hc-tp-03"", ""hc-tp-02""]",dept-diagnostics,0,111
B1_ungoverned,"[""fs-pa-04"", ""fs-pa-03"", ""fs-pa-01""]",dept-portfolio,0,111
B1_ungoverned,"[""hc-cd-01"", ""hc-cd-04"", ""hc-iv-02"", ""hc-iv-03""]",dept-clinical,4,115
B1_ungoverned,"[""fs-pa-01"", ""fs-pa-02"", ""fs-pa-04""]",dept-portfolio,0,115
B1_ungoverned,"[""fs-pa-03"", ""hc-cd-03""]",dept-portfolio,1,116
B1_ungoverned,"[""hc-da-03"", ""hc-da-02"", ""hc-da-01""]",dept-diagnostics,0,116
B1_ungoverned,"[""hc-tp-02"", ""hc-tp-03"", ""hc-tp-04""]",dept-treatment,0,116
B1_ungoverned,"[""hc-tp-02"", ""hc-tp-01"", ""hc-tp-03""]",dept-treatment,0,116
B1_ungoverned,"[""hc-cd-01"", ""hc-cd-04"", ""hc-cd-03""]",dept-clinical,0,116
B1_ungoverned,"[""fs-ca-02"", ""hc-da-03""]",dept-portfolio,1,117
B1_ungoverned,"[""fs-rc-04"", ""hc-iv-04""]",dept-portfolio,2,119
B1_ungoverned,"[""fs-te-04"", ""hc-tp-03""]",dept-portfolio,1,120
B1_ungoverned,"[""hc-mr-02"", ""hc-mr-03"", ""hc-tp-03"", ""hc-tp-04""]",dept-records,0,120
B1_ungoverned,"[""fs-ca-04"", ""hc-mr-01""]",dept-portfolio,1,121
B1_ungoverned,"[""hc-hc-01"", ""hc-hc-02"", ""hc-iv-03"", ""hc-iv-02""]",dept-compliance-hc,3,124
B1_ungoverned,"[""fs-ca-04"", ""fs-ca-03"", ""fs-ca-02""]",dept-advisory,0,124
B1_ungoverned,"[""hc-mr-03"", ""hc-mr-02"", ""hc-mr-01""]",dept-records,0,124
B1_ungoverned,"[""hc-da-02"", ""hc-da-04"", ""hc-tp-02"", ""hc-tp-03""]",dept-diagnostics,0,124
B1_ungoverned,"[""fs-te-04"", ""hc-hc-01""]",dept-portfolio,1,125
B1_ungoverned,"[""fs-ra-02"", ""hc-tp-03""]",dept-portfolio,1,126
B1_ungoverned,"[""fs-pa-01"", ""fs-pa-02"", ""fs-pa-03""]",dept-portfolio,0,126
B1_ungoverned,"[""fs-ra-02"", ""fs-ra-01"", ""fs-ra-03""]",dept-risk,0,126
B1_ungoverned,"[""hc-hc-02"", ""hc-hc-04"", ""hc-hc-03""]",dept-compliance-hc,0,126
B1_ungoverned,"[""fs-pa-03"", ""hc-cd-03""]",dept-portfolio,1,127
B1_ungoverned,"[""fs-ar-04"", ""fs-ar-03"", ""fs-ar-02""]",dept-audit,0,127
B1_ungoverned,"[""fs-ca-01"", ""hc-cd-01""]",dept-portfolio,2,129
B1_ungoverned,"[""fs-ca-01"", ""hc-mr-01""]",dept-portfolio,2,131
B1_ungoverned,"[""hc-da-01"", ""hc-da-04"", ""hc-cd-01"", ""hc-cd-03""]",dept-diagnostics,0,131
B1_ungoverned,"[""fs-ar-04"", ""fs-ar-03"", ""fs-te-02"", ""fs-te-03""]",dept-audit,2,133
B1_ungoverned,"[""hc-iv-04"", ""hc-iv-01"", ""hc-iv-03""]",dept-insurance,0,133
B1_ungoverned,"[""hc-mr-03"", ""hc-mr-01"", ""hc-mr-02""]",dept-records,0,133
B1_ungoverned,"[""hc-hc-03"", ""hc-hc-04"", ""hc-cd-02"", ""hc-cd-03""]",dept-compliance-hc,0,133
B1_ungoverned,"[""fs-te-01"", ""hc-tp-04""]",dept-portfolio,2,135
B1_ungoverned,"[""fs-ra-01"", ""hc-tp-03""]",dept-portfolio,1,136
B1_ungoverned,"[""fs-ra-02"", ""hc-mr-03""]",dept-portfolio,1,137
B1_ungoverned,"[""fs-rc-03"", ""hc-mr-03""]",dept-portfolio,1,138
B1_ungoverned,"[""fs-rc-03"", ""fs-rc-01"", ""fs-te-04"", ""fs-te-01""]",dept-compliance-fin,2,140
B1_ungoverned,"[""hc-hc-01"", ""hc-hc-04"", ""hc-tp-04"", ""hc-tp-01""]",dept-compliance-hc,0,140
B1_ungoverned,"[""hc-mr-03"", ""hc-mr-02"", ""hc-mr-01""]",dept-records,0,140
B1_ungoverned,"[""hc-tp-02"", ""hc-tp-03"", ""hc-tp-01""]",dept-treatment,0,140
B1_ungoverned,"[""fs-te-02"", ""fs-te-03"", ""fs-ra-01"", ""fs-ra-02""]",dept-trading,1,141
B1_ungoverned,"[""fs-ar-04"", ""hc-mr-01""]",dept-portfolio,1,142
B1_ungoverned,"[""fs-ar-04"", ""hc-hc-03""]",dept-portfolio,1,143
B1_ungoverned,"[""hc-iv-03"", ""hc-iv-01"", ""hc-cd-02"", ""hc-cd-03""]",dept-insurance,3,146
B1_ungoverned,"[""hc-hc-04"", ""hc-hc-03"", ""hc-mr-01"", ""hc-mr-02""]",dept-compliance-hc,1,147
B1_ungoverned,"[""fs-te-01"", ""fs-te-02"", ""fs-te-03""]",dept-trading,2,149
B1_ungoverned,"[""fs-pa-02"", ""hc-iv-03""]",dept-portfolio,1,150
B1_ungoverned,"[""hc-hc-02"", ""hc-hc-01"", ""hc-hc-03""]",dept-compliance-hc,0,150
B1_ungoverned,"[""fs-ca-04"", ""hc-da-04""]",dept-portfolio,1,151
B1_ungoverned,"[""hc-hc-02"", ""hc-hc-04"", ""hc-da-02"", ""hc-da-04""]",dept-compliance-hc,1,152
B1_ungoverned,"[""fs-ar-02"", ""hc-cd-04""]",dept-portfolio,1,153
B1_ungoverned,"[""fs-ar-02"", ""fs-ar-04"", ""fs-ar-01""]",dept-audit,0,153
B1_ungoverned,"[""fs-te-04"", ""fs-te-03"", ""fs-te-01""]",dept-trading,1,154
B1_ungoverned,"[""hc-da-03"", ""hc-da-02"", ""hc-da-04""]",dept-diagnostics,0,154
B1_ungoverned,"[""fs-pa-01"", ""hc-da-03""]",dept-portfolio,1,155
B1_ungoverned,"[""fs-pa-02"", ""hc-da-02""]",dept-portfolio,1,156
B1_ungoverned,"[""fs-te-02"", ""fs-te-01"", ""fs-te-03""]",dept-trading,2,158
B1_ungoverned,"[""hc-iv-04"", ""hc-iv-02"", ""hc-hc-03"", ""hc-hc-02""]",dept-insurance,5,163
B1_ungoverned,"[""fs-ar-04"", ""fs-ar-02"", ""fs-ra-01"", ""fs-ra-04""]",dept-audit,0,163
B1_ungoverned,"[""fs-ra-03"", ""hc-mr-01""]",dept-portfolio,1,164
B1_ungoverned,"[""fs-ca-01"", ""hc-da-03""]",dept-portfolio,2,166
B1_ungoverned,"[""fs-rc-01"", ""fs-rc-02"", ""fs-ra-03"", ""fs-ra-04""]",dept-compliance-fin,2,168
B1_ungoverned,"[""fs-ca-01"", ""fs-ca-02"", ""fs-ca-04""]",dept-advisory,0,168
B1_ungoverned,"[""fs-pa-02"", ""fs-pa-01"", ""fs-ra-04"", ""fs-ra-01""]",dept-portfolio,0,168
B1_ungoverned,"[""fs-pa-01"", ""fs-pa-02"", ""fs-ra-01"", ""fs-ra-02""]",dept-portfolio,0,168
B1_ungoverned,"[""fs-ar-03"", ""hc-iv-02""]",dept-portfolio,2,170
B1_ungoverned,"[""fs-ra-04"", ""hc-cd-04""]",dept-portfolio,1,171
B1_ungoverned,"[""fs-ar-03"", ""fs-ar-04"", ""fs-pa-04"", ""fs-pa-03""]",dept-audit,0,171
B1_ungoverned,"[""fs-ca-03"", ""hc-hc-04""]",dept-portfolio,1,172
B1_ungoverned,"[""fs-rc-04"", ""fs-rc-02"", ""fs-rc-01""]",dept-compliance-fin,0,172
B1_ungoverned,"[""fs-ra-02"", ""fs-ra-03"", ""fs-ar-04"", ""fs-ar-01""]",dept-risk,1,173
B1_ungoverned,"[""fs-ar-02"", ""fs-ar-01"", ""fs-ar-04""]",dept-audit,0,173
B1_ungoverned,"[""hc-mr-01"", ""hc-mr-02"", ""hc-mr-03""]",dept-records,0,173
B1_ungoverned,"[""fs-rc-04"", ""fs-rc-02"", ""fs-rc-03""]",dept-compliance-fin,0,173
B1_ungoverned,"[""fs-rc-04"", ""hc-mr-01""]",dept-portfolio,1,174
B1_ungoverned,"[""hc-da-02"", ""hc-da-03"", ""hc-da-01""]",dept-diagnostics,0,174
B1_ungoverned,"[""fs-ar-02"", ""hc-hc-04""]",dept-portfolio,1,175
B1_ungoverned,"[""hc-tp-03"", ""hc-tp-01"", ""hc-cd-01"", ""hc-cd-04""]",dept-treatment,0,175
B1_ungoverned,"[""fs-te-03"", ""hc-tp-04""]",dept-portfolio,1,176
B1_ungoverned,"[""fs-rc-03"", ""fs-rc-01"", ""fs-rc-04""]",dept-compliance-fin,1,177
B1_ungoverned,"[""fs-ca-03"", ""fs-ca-01"", ""fs-ra-04"", ""fs-ra-02""]",dept-advisory,3,180
B1_ungoverned,"[""hc-iv-04"", ""hc-iv-03"", ""hc-mr-02"", ""hc-mr-03""]",dept-insurance,3,183
B1_ungoverned,"[""hc-tp-02"", ""hc-tp-03"", ""hc-hc-04"", ""hc-hc-02""]",dept-treatment,0,183
B1_ungoverned,"[""fs-ar-01"", ""fs-ar-03"", ""fs-ar-04""]",dept-audit,0,183
B1_ungoverned,"[""hc-cd-02"", ""hc-cd-04"", ""hc-cd-03""]",dept-clinical,0,183
B1_ungoverned,"[""hc-cd-02"", ""hc-cd-04"", ""hc-cd-01""]",dept-clinical,0,183
B1_ungoverned,"[""hc-da-04"", ""hc-da-03"", ""hc-mr-03"", ""hc-mr-02""]",dept-diagnostics,1,184
B1_ungoverned,"[""hc-hc-04"", ""hc-hc-01"", ""hc-hc-03""]",dept-compliance-hc,0,184
B1_ungoverned,"[""hc-da-04"", ""hc-da-01"", ""hc-da-02""]",dept-diagnostics,0,184
B1_ungoverned,"[""fs-ca-04"", ""hc-iv-04""]",dept-portfolio,2,186
B1_ungoverned,"[""hc-da-02"", ""hc-da-03"", ""hc-hc-04"", ""hc-hc-02""]",dept-diagnostics,1,187
B1_ungoverned,"[""fs-pa-03"", ""fs-pa-02"", ""fs-pa-01""]",dept-portfolio,0,187
B1_ungoverned,"[""fs-ca-02"", ""hc-hc-03""]",dept-portfolio,1,188
B1_ungoverned,"[""fs-ra-04"", ""hc-tp-03""]",dept-portfolio,1,189
B1_ungoverned,"[""fs-rc-01"", ""fs-rc-04"", ""fs-rc-02""]",dept-compliance-fin,0,189
B1_ungoverned,"[""hc-da-04"", ""hc-da-01"", ""hc-da-03""]",dept-diagnostics,0,189
B1_ungoverned,"[""fs-te-01"", ""fs-te-03"", ""fs-te-04""]",dept-trading,1,190
B1_ungoverned,"[""fs-ra-02"", ""hc-iv-04""]",dept-portfolio,2,192
B1_ungoverned,"[""fs-ra-01"", ""fs-ra-02"", ""fs-ca-01"", ""fs-ca-02""]",dept-risk,3,195
B1_ungoverned,"[""fs-rc-03"", ""hc-iv-01""]",dept-portfolio,2,197
B1_ungoverned,"[""hc-hc-03"", ""hc-hc-02"", ""hc-hc-01""]",dept-compliance-hc,0,197
B1_ungoverned,"[""hc-iv-02"", ""hc-iv-01"", ""hc-tp-02"", ""hc-tp-01""]",dept-insurance,5,202
B1_ungoverned,"[""fs-rc-03"", ""hc-tp-03""]",dept-portfolio,1,203
B1_ungoverned,"[""fs-ra-02"", ""fs-ra-04"", ""fs-pa-04"", ""fs-pa-02""]",dept-risk,0,203
B1_ungoverned,"[""fs-ra-02"", ""hc-da-03""]",dept-portfolio,1,204
B1_ungoverned,"[""fs-pa-02"", ""fs-pa-03"", ""fs-pa-01""]",dept-portfolio,0,204
B1_ungoverned,"[""fs-rc-02"", ""fs-rc-01"", ""fs-rc-03""]",dept-compliance-fin,1,205
B1_ungoverned,"[""fs-pa-01"", ""fs-pa-04"", ""fs-ca-02"", ""fs-ca-01""]",dept-portfolio,2,207
B1_ungoverned,"[""hc-cd-02"", ""hc-cd-04"", ""hc-cd-03""]",dept-clinical,0,207
B1_ungoverned,"[""hc-tp-04"", ""hc-tp-01"", ""hc-tp-03""]",dept-treatment,0,207
B1_ungoverned,"[""fs-ra-03"", ""hc-tp-01""]",dept-portfolio,1,208
B1_ungoverned,"[""fs-ca-02"", ""hc-cd-04""]",dept-portfolio,1,209
B1_ungoverned,"[""hc-hc-03"", ""hc-hc-02"", ""hc-hc-01""]",dept-compliance-hc,0,209
B1_ungoverned,"[""fs-ra-04"", ""fs-ra-02"", ""fs-ra-03""]",dept-risk,0,209
B1_ungoverned,"[""fs-pa-04"", ""fs-pa-01"", ""fs-ca-01"", ""fs-ca-04""]",dept-portfolio,2,211
B1_ungoverned,"[""fs-rc-04"", ""hc-hc-03""]",dept-portfolio,1,212
B1_ungoverned,"[""hc-da-01"", ""hc-da-03"", ""hc-tp-03"", ""hc-tp-02""]",dept-diagnostics,0,212
B1_ungoverned,"[""fs-ra-01"", ""hc-mr-03""]",dept-portfolio,1,213
B1_ungoverned,"[""hc-cd-03"", ""hc-cd-04"", ""hc-iv-02"", ""hc-iv-01""]",dept-clinical,6,219
B1_ungoverned,"[""fs-ra-03"", ""hc-iv-04""]",dept-portfolio,2,221
B1_ungoverned,"[""hc-tp-02"", ""hc-tp-04"", ""hc-mr-01"", ""hc-mr-03""]",dept-treatment,1,222
B1_ungoverned,"[""hc-tp-04"", ""hc-tp-01"", ""hc-tp-03""]",dept-treatment,0,222
B1_ungoverned,"[""fs-te-01"", ""hc-iv-01""]",dept-portfolio,3,225
B1_ungoverned,"[""fs-ar-01"", ""hc-da-03""]",dept-portfolio,1,226
B1_ungoverned,"[""fs-ra-04"", ""hc-cd-03""]",dept-portfolio,1,227
B1_ungoverned,"[""fs-rc-02"", ""fs-rc-03"", ""fs-rc-04""]",dept-compliance-fin,0,227
B1_ungoverned,"[""fs-ar-01"", ""fs-ar-03"", ""fs-ca-02"", ""fs-ca-04""]",dept-audit,1,228
B1_ungoverned,"[""fs-rc-01"", ""hc-iv-03""]",dept-portfolio,1,229
B1_ungoverned,"[""hc-iv-02"", ""hc-iv-04"", ""hc-mr-02"", ""hc-mr-03""]",dept-insurance,5,234
B1_ungoverned,"[""hc-tp-04"", ""hc-tp-03"", ""hc-tp-02""]",dept-treatment,0,234
B1_ungoverned,"[""fs-ca-02"", ""hc-cd-03""]",dept-portfolio,1,235
B1_ungoverned,"[""fs-ca-03"", ""hc-mr-02""]",dept-portfolio,1,236
B1_ungoverned,"[""hc-mr-03"", ""hc-mr-01"", ""hc-da-04"", ""hc-da-03""]",dept-records,0,236
B1_ungoverned,"[""fs-ar-04"", ""fs-ar-02"", ""fs-ar-01""]",dept-audit,0,236
B1_ungoverned,"[""hc-cd-03"", ""hc-cd-01"", ""hc-cd-02""]",dept-clinical,0,236
B1_ungoverned,"[""fs-rc-02"", ""fs-rc-03"", ""fs-rc-04""]",dept-compliance-fin,0,236
B1_ungoverned,"[""hc-cd-04"", ""hc-cd-01"", ""hc-cd-02""]",dept-clinical,0,236
B1_ungoverned,"[""hc-iv-04"", ""hc-iv-02"", ""hc-iv-01""]",dept-insurance,0,236
